n,r,m
"(:Shoe {stackHeight: 39.5mm/34.5mm,isCarbonPlated: true,name: Metaspeed Edge Paris,notesShoe: ,foamCushioning: FF Turbo Plus})",[:HAS_BRAND],"(:Brand {brandName: Asics,notesBrand: I ran my very first marathon with an Asics shoe. I loved the maximum cushioning that they gave. Asics’ website has a great search filter to help you narrow down the shoe that you are looking for, such as cushioning, road running, goals, and pronation. There are plenty of options for stability from the brand. Gel Kayano is a stability and neutral shoe.})"
"(:Shoe {stackHeight: 39.5mm/34.5mm,isCarbonPlated: true,name: Metaspeed Edge Paris,notesShoe: ,foamCushioning: FF Turbo Plus})",[:HAS_CUSHIONING],(:Cushioning {cushioningType: Regular})
"(:Shoe {stackHeight: 39.5mm/34.5mm,isCarbonPlated: true,name: Metaspeed Edge Paris,notesShoe: ,foamCushioning: FF Turbo Plus})",[:HAS_OFFSET],(:Offset {offsetValue: 5mm})
"(:Shoe {stackHeight: 42.5mm/34.5mm,isCarbonPlated: false,name: Gel Nimbus 27,notesShoe: ,foamCushioning: FF Blast Plus ECO})",[:HAS_BRAND],"(:Brand {brandName: Asics,notesBrand: I ran my very first marathon with an Asics shoe. I loved the maximum cushioning that they gave. Asics’ website has a great search filter to help you narrow down the shoe that you are looking for, such as cushioning, road running, goals, and pronation. There are plenty of options for stability from the brand. Gel Kayano is a stability and neutral shoe.})"
"(:Shoe {stackHeight: 42.5mm/34.5mm,isCarbonPlated: false,name: Gel Nimbus 27,notesShoe: ,foamCushioning: FF Blast Plus ECO})",[:HAS_CUSHIONING],(:Cushioning {cushioningType: Max})
"(:Shoe {stackHeight: 42.5mm/34.5mm,isCarbonPlated: false,name: Gel Nimbus 27,notesShoe: ,foamCushioning: FF Blast Plus ECO})",[:HAS_OFFSET],(:Offset {offsetValue: 8mm})
"(:Shoe {stackHeight: 39mm/29mm,isCarbonPlated: false,name: Gel Kayano 31,notesShoe: ,foamCushioning: FF Blast Plus ECO})",[:HAS_BRAND],"(:Brand {brandName: Asics,notesBrand: I ran my very first marathon with an Asics shoe. I loved the maximum cushioning that they gave. Asics’ website has a great search filter to help you narrow down the shoe that you are looking for, such as cushioning, road running, goals, and pronation. There are plenty of options for stability from the brand. Gel Kayano is a stability and neutral shoe.})"
"(:Shoe {stackHeight: 39mm/29mm,isCarbonPlated: false,name: Gel Kayano 31,notesShoe: ,foamCushioning: FF Blast Plus ECO})",[:HAS_CUSHIONING],(:Cushioning {cushioningType: Max})
"(:Shoe {stackHeight: 39mm/29mm,isCarbonPlated: false,name: Gel Kayano 31,notesShoe: ,foamCushioning: FF Blast Plus ECO})",[:HAS_OFFSET],(:Offset {offsetValue: 10mm})
"(:Shoe {stackHeight: ,isCarbonPlated: false,name: GT 4000 4,notesShoe: ,foamCushioning: FF Blast })",[:HAS_BRAND],"(:Brand {brandName: Asics,notesBrand: I ran my very first marathon with an Asics shoe. I loved the maximum cushioning that they gave. Asics’ website has a great search filter to help you narrow down the shoe that you are looking for, such as cushioning, road running, goals, and pronation. There are plenty of options for stability from the brand. Gel Kayano is a stability and neutral shoe.})"
"(:Shoe {stackHeight: ,isCarbonPlated: false,name: GT 4000 4,notesShoe: ,foamCushioning: FF Blast })",[:HAS_CUSHIONING],(:Cushioning {cushioningType: Regular})
"(:Shoe {stackHeight: ,isCarbonPlated: false,name: GT 4000 4,notesShoe: ,foamCushioning: FF Blast })",[:HAS_OFFSET],(:Offset {offsetValue: 8mm})
